Situation Number,Phase,NextPhase,Situation Name,ACT,Situation Description,Required Context,Given Context,Removed Context,Outcome
1,START,REACTION,Night Movement,Wake and listen toward the edge of the firelight.,"You wake during the night after hearing movement just beyond the light of your campfire. For a moment everything goes still, but then another faint rustle comes from somewhere past the trees, close enough that it is difficult to ignore.",-,"CAMP, MOVEMENT_HEARD, NIGHT, UNKNOWN_SOURCE",-,-
2,START,REACTION,Distant Cry,Listen for the distant cry again.,"A distant cry wakes you from your rest. It sounds human, but the darkness makes it difficult to tell where it came from. The sound fades quickly, leaving you unsure whether someone nearby is injured, lost, or trying to draw attention.",-,"CAMP, DISTRESS_POSSIBLE, NIGHT, UNKNOWN_SOURCE, VOICE_HEARD",-,-
3,START,REACTION,Cargo Noise,Check what disturbed the supplies.,"You wake to the sound of something shifting among your supplies beside the camp. A bag scrapes against the ground and then the noise stops, as if whatever caused it noticed that you were awake.",-,"CAMP, CARGO_DISTURBED, CARGO_PRESENT, NIGHT, UNKNOWN_SOURCE",-,-
4,START,REACTION,Dying Fire,Check the dying campfire.,"You wake and find the campfire almost extinguished, its last embers barely lighting the ground around you. The night has grown colder, and without attention the remaining glow may disappear completely.",-,"CAMP, FIRE_LOW, NIGHT",-,-
5,START,REACTION,Approaching Footsteps,Listen to the footsteps outside the camp.,"Slow footsteps wake you as they approach the edge of your camp and then suddenly stop. Whoever or whatever made them is close enough to hear, but nothing enters the firelight.",-,"CAMP, FOOTSTEPS_HEARD, HUMAN_POSSIBLE, NIGHT, UNKNOWN_SOURCE",-,-
6,START,REACTION,Strange Light,Watch the moving light between the trees.,"A faint moving light between the trees catches your attention and pulls you from sleep. It drifts for a few moments beyond the camp, disappears behind the trunks, then appears again farther away.",-,"CAMP, LIGHT_SEEN, NIGHT, UNKNOWN_SOURCE",-,-
7,START,REACTION,Animal Cry,Listen for the animal beyond the camp.,"A sharp animal cry breaks the silence of the night and wakes you immediately. The sound is close, followed by movement somewhere beyond the firelight, but you cannot yet tell what kind of animal is nearby.",-,"ANIMAL_SOUND, CAMP, NIGHT, UNKNOWN_SOURCE",-,-
8,START,REACTION,Broken Branch,Check where the branch broke.,"A loud crack from somewhere nearby wakes you, followed by branches shifting in the darkness. The movement seems to continue along the tree line before suddenly going quiet.",-,"CAMP, FOREST_NEARBY, MOVEMENT_HEARD, NIGHT, UNKNOWN_SOURCE",-,-
9,START,REACTION,Whispering Voices,Listen to the whispering beyond the fire.,"You wake to quiet voices whispering somewhere beyond the edge of the firelight. The words are impossible to make out, but there is clearly more than one person nearby and they do not seem eager to be seen.",-,"CAMP, HUMAN_POSSIBLE, NIGHT, UNKNOWN_SOURCE, WHISPERS_HEARD",-,-
10,START,REACTION,Storm Disturbance,Inspect what the storm disturbed.,"Heavy wind and rain wake you as something strikes or pulls at the edge of your camp. The shelter strains under the weather, and another sharp sound comes from the direction of your cargo.",-,"CAMP, CARGO_PRESENT, NIGHT, SHELTER_PRESENT, STORM_ACTIVE",-,-
