Situation Number,Phase,NextPhase,Situation Name,Situation Description,Required Context,Given Context,Removed Context
1,START,REACTION,Night Movement,You wake during the night after hearing movement just beyond the light of your campfire.,-,"CAMP, MOVEMENT_HEARD, NIGHT, UNKNOWN_SOURCE",-
2,START,REACTION,Distant Cry,"A distant cry wakes you from your rest. It sounds human, but the darkness makes it difficult to tell where it came from.",-,"CAMP, DISTRESS_POSSIBLE, NIGHT, UNKNOWN_SOURCE, VOICE_HEARD",-
3,START,REACTION,Cargo Noise,You wake to the sound of something shifting among your supplies beside the camp.,-,"CAMP, CARGO_DISTURBED, CARGO_PRESENT, NIGHT, UNKNOWN_SOURCE",-
4,START,REACTION,Dying Fire,"You wake and find the campfire almost extinguished, its last embers barely lighting the ground around you.",-,"CAMP, FIRE_LOW, NIGHT",-
5,START,REACTION,Approaching Footsteps,Slow footsteps wake you as they approach the edge of your camp and then suddenly stop.,-,"CAMP, FOOTSTEPS_HEARD, HUMAN_POSSIBLE, NIGHT, UNKNOWN_SOURCE",-
6,START,REACTION,Strange Light,A faint moving light between the trees catches your attention and pulls you from sleep.,-,"CAMP, LIGHT_SEEN, NIGHT, UNKNOWN_SOURCE",-
7,START,REACTION,Animal Cry,A sharp animal cry breaks the silence of the night and wakes you immediately.,-,"ANIMAL_SOUND, CAMP, NIGHT, UNKNOWN_SOURCE",-
8,START,REACTION,Broken Branch,"A loud crack from somewhere nearby wakes you, followed by branches shifting in the darkness.",-,"CAMP, FOREST_NEARBY, MOVEMENT_HEARD, NIGHT, UNKNOWN_SOURCE",-
9,START,REACTION,Whispering Voices,You wake to quiet voices whispering somewhere beyond the edge of the firelight.,-,"CAMP, HUMAN_POSSIBLE, NIGHT, UNKNOWN_SOURCE, WHISPERS_HEARD",-
10,START,REACTION,Storm Disturbance,Heavy wind and rain wake you as something strikes or pulls at the edge of your camp.,-,"CAMP, CARGO_PRESENT, NIGHT, SHELTER_PRESENT, STORM_ACTIVE",-
11,REACTION,REVEAL,Get Up and Investigate,You leave the warmth of the fire and search for the source of the disturbance.,"CAMP, UNKNOWN_SOURCE",INVESTIGATING,-
12,REACTION,REVEAL,Wait and Listen,You remain still and focus on every sound around the camp.,"CAMP, UNKNOWN_SOURCE",LISTENING,-
13,REACTION,REVEAL,Grab a Torch,You light a torch and sweep its light across the surrounding darkness.,"NIGHT, UNKNOWN_SOURCE","OBSERVING, TORCH_LIT",-
14,REACTION,REVEAL,Inspect the Ground,"You check the ground around camp for tracks, disturbed soil, or dropped objects.","CAMP, UNKNOWN_SOURCE",TRACK_SEARCH,-
15,REACTION,REVEAL,Call Out into the Darkness,You ask whether anyone is there and wait for an answer.,UNKNOWN_SOURCE,CALLED_OUT,-
16,REACTION,REVEAL,Circle Around the Camp,You quietly approach the disturbance from another direction.,"CAMP, UNKNOWN_SOURCE","FLANKING, INVESTIGATING",-
17,REACTION,REVEAL,Stay Beside the Fire,You remain in the light and wait to see whether the disturbance comes closer.,"CAMP, NIGHT",WAITING_AT_FIRE,-
18,REACTION,REVEAL,Prepare for Trouble,You ready yourself for a possible threat before doing anything else.,"CAMP, UNKNOWN_SOURCE","DEFENSIVE, LISTENING",-
19,REACTION,REVEAL,Follow the Movement,You move cautiously toward where you last heard the movement.,"MOVEMENT_HEARD, UNKNOWN_SOURCE","FOLLOWING_MOVEMENT, INVESTIGATING",-
20,REACTION,REVEAL,Search the Tree Line,You inspect the trees and bushes for whatever caused the disturbance.,"FOREST_NEARBY, UNKNOWN_SOURCE","INVESTIGATING, TREE_LINE_SEARCH",-
21,REACTION,REVEAL,Call Back to the Voice,You call toward the voice and ask the person to answer clearly.,"UNKNOWN_SOURCE, VOICE_HEARD","CALLED_OUT, VOICE_CONTACT_ATTEMPT",-
22,REACTION,REVEAL,Move Toward the Cry,You leave the fire and carefully move toward where the cry came from.,"DISTRESS_POSSIBLE, VOICE_HEARD","APPROACHING_VOICE, INVESTIGATING",-
23,REACTION,REVEAL,Wait for Another Cry,You remain still and listen for the person to call again.,VOICE_HEARD,LISTENING_FOR_VOICE,-
24,REACTION,REVEAL,Offer Help from a Distance,"You call out that you can help, but ask the unseen person to approach slowly.",VOICE_HEARD,"CALLED_OUT, HELP_OFFERED",-
25,REACTION,REVEAL,Follow the Footsteps,You move after the footsteps before they can disappear into the night.,"FOOTSTEPS_HEARD, UNKNOWN_SOURCE","FOLLOWING_FOOTSTEPS, INVESTIGATING",-
26,REACTION,REVEAL,Wait for the Footsteps to Return,You stay still and listen for the footsteps to move again.,FOOTSTEPS_HEARD,LISTENING_FOR_FOOTSTEPS,-
27,REACTION,REVEAL,Challenge Whoever Is Approaching,You warn the unseen person that you are awake and prepared.,FOOTSTEPS_HEARD,"CALLED_OUT, DEFENSIVE",-
28,REACTION,REVEAL,Listen to the Whispering,You remain quiet and try to make out what the voices are saying.,WHISPERS_HEARD,EAVESDROPPING,-
29,REACTION,REVEAL,Reveal That You Are Awake,You speak toward the whispering voices and tell them to show themselves.,WHISPERS_HEARD,"CALLED_OUT, DEFENSIVE",-
30,REACTION,REVEAL,Follow the Strange Light,You move cautiously toward the light while keeping your camp behind you.,"LIGHT_SEEN, UNKNOWN_SOURCE","FOLLOWING_LIGHT, INVESTIGATING",-
31,REACTION,REVEAL,Signal with Your Torch,You wave a torch toward the distant light to see whether someone responds.,"LIGHT_SEEN, NIGHT","SIGNALLED_LIGHT, TORCH_LIT",-
32,REACTION,REVEAL,Watch the Light from Camp,You stay beside the fire and observe the moving light without approaching.,LIGHT_SEEN,OBSERVING_LIGHT,-
33,REACTION,REVEAL,Inspect the Cargo,You inspect the bags and crates to see what was moved.,"CARGO_DISTURBED, CARGO_PRESENT",CARGO_CHECK,-
34,REACTION,REVEAL,Guard the Supplies,You position yourself between the darkness and your cargo.,"CARGO_DISTURBED, CARGO_PRESENT","CARGO_GUARDED, DEFENSIVE, OBSERVING_CARGO",-
35,REACTION,REVEAL,Pretend to Sleep,You lie still and watch the cargo from the corner of your eye.,"CARGO_DISTURBED, CARGO_PRESENT","OBSERVING_CARGO, PRETENDING_SLEEP",-
36,REACTION,REVEAL,Check for Missing Goods,You quickly count your most valuable goods to see whether anything has disappeared.,"CARGO_DISTURBED, CARGO_PRESENT",CARGO_INVENTORY_CHECK,-
37,REACTION,REVEAL,Use a Torch on the Cargo,You light the bags and crates clearly to expose anything hiding among them.,"CARGO_PRESENT, NIGHT","CARGO_CHECK, TORCH_LIT",-
38,REACTION,REVEAL,Secure the Cargo First,You tighten the straps and close every exposed bag before searching for the cause.,"CARGO_DISTURBED, CARGO_PRESENT","CARGO_CHECK, CARGO_SECURED_TEMP, DEFENSIVE",-
39,REACTION,REVEAL,Listen for the Animal,"You remain still and listen for another cry, growl, or movement.",ANIMAL_SOUND,ANIMAL_LISTENING,-
40,REACTION,REVEAL,Raise a Torch Toward the Animal Sound,You lift a torch and search the darkness for eyes or movement.,"ANIMAL_SOUND, NIGHT","ANIMAL_SEARCH, TORCH_LIT",-
41,REACTION,REVEAL,Make Noise to Scare It Away,You shout and strike your equipment together to frighten the animal away.,ANIMAL_SOUND,ANIMAL_SCARE_ATTEMPT,-
42,REACTION,REVEAL,Place Food Away from Camp,You leave a small amount of food away from your supplies and step back.,"ANIMAL_SOUND, CAMP",ANIMAL_BAIT_SET,-
43,REACTION,REVEAL,Protect the Fire,You shield the weak embers from the wind and try to keep them alive.,FIRE_LOW,FIRE_PROTECTED,-
44,REACTION,REVEAL,Rebuild the Fire,You gather fuel and try to restore the dying fire.,FIRE_LOW,FIRE_REBUILD_ATTEMPT,-
45,REACTION,REVEAL,Inspect the Storm Damage,You step into the rain and inspect the campsite for damage.,STORM_ACTIVE,STORM_INSPECTION,-
46,REACTION,REVEAL,Secure the Shelter,You tighten ropes and supports before the storm can tear the shelter apart.,"SHELTER_PRESENT, STORM_ACTIVE",SHELTER_SECURE_ATTEMPT,-
47,REACTION,REVEAL,Protect the Cargo from Rain,You check the covers and move exposed goods away from the rain.,"CARGO_PRESENT, STORM_ACTIVE",CARGO_RAIN_PROTECTION,-
48,REVEAL,RESPONSE,Fresh Human Footprints,Fresh human footprints cross the edge of the camp and continue into the darkness.,TRACK_SEARCH,"HUMAN_CONFIRMED, HUMAN_TRACKS",UNKNOWN_SOURCE
49,REVEAL,RESPONSE,Fresh Animal Tracks,Fresh animal tracks pass close to the fire before leading away.,TRACK_SEARCH,"ANIMAL_CONFIRMED, ANIMAL_TRACKS",UNKNOWN_SOURCE
50,REVEAL,RESPONSE,Fresh Blood Trail,Drops of fresh blood form a trail leading away from the camp.,TRACK_SEARCH,BLOOD_TRAIL,-
51,REVEAL,RESPONSE,Broken Branches Form a Trail,Freshly broken branches form a rough trail away from the campsite.,TREE_LINE_SEARCH,TRAIL_FOUND,-
52,REVEAL,RESPONSE,A Hidden Figure,You briefly see a human-shaped figure moving between the trees.,INVESTIGATING,"HIDDEN_PERSON, HUMAN_CONFIRMED",UNKNOWN_SOURCE
53,REVEAL,RESPONSE,Eyes Beyond the Firelight,A pair of eyes reflects the firelight from somewhere beyond the camp.,OBSERVING,"ANIMAL_CONFIRMED, ANIMAL_WATCHING",UNKNOWN_SOURCE
54,REVEAL,RESPONSE,Nothing Obvious Is Found,"Your search reveals no clear tracks, person, or animal nearby.",INVESTIGATING,NO_SOURCE_FOUND,-
55,REVEAL,RESPONSE,Something Moves Near the Cargo,A dark shape moves beside the supplies before slipping out of view.,"CARGO_PRESENT, WAITING_AT_FIRE",CARGO_INTRUSION_POSSIBLE,-
56,REVEAL,RESPONSE,The Movement Stops,The movement stops completely as soon as you approach.,FOLLOWING_MOVEMENT,"NO_SOURCE_FOUND, SOURCE_FLED_POSSIBLE",-
57,REVEAL,RESPONSE,Someone Runs Away,You hear a person break into a run and disappear into the darkness.,FLANKING,"HUMAN_CONFIRMED, PERSON_FLEEING",UNKNOWN_SOURCE
58,REVEAL,RESPONSE,Heavy Animal Breathing,"Slow, heavy breathing reveals that a large animal is very close.",LISTENING,"ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE
59,REVEAL,RESPONSE,Quiet Human Footsteps,The rhythm of the movement makes it clear that a person is walking around the camp.,LISTENING,"HUMAN_CONFIRMED, PERSON_NEARBY",UNKNOWN_SOURCE
60,REVEAL,RESPONSE,Two People Whispering,You make out two people speaking quietly just outside the firelight.,LISTENING,"HUMAN_CONFIRMED, MULTIPLE_PEOPLE",UNKNOWN_SOURCE
61,REVEAL,RESPONSE,Cargo Being Moved,You hear a bag scrape across the ground beside your supplies.,"CARGO_PRESENT, LISTENING",CARGO_INTRUSION_POSSIBLE,-
62,REVEAL,RESPONSE,The Night Falls Silent,The disturbance disappears and nothing else moves or calls out.,LISTENING,"NO_SOURCE_FOUND, SILENCE",-
63,REVEAL,RESPONSE,A Frightened Traveller Answers,A frightened traveller answers and asks whether it is safe to approach.,CALLED_OUT,"FRIGHTENED_TRAVELLER, HUMAN_CONFIRMED, TRAVELLER_PRESENT",UNKNOWN_SOURCE
64,REVEAL,RESPONSE,A Warning from the Darkness,A tense voice tells you not to come any closer.,CALLED_OUT,"HOSTILE_WARNING, HUMAN_CONFIRMED",UNKNOWN_SOURCE
65,REVEAL,RESPONSE,No One Answers,"Your call receives no answer, although you still sense movement nearby.","CALLED_OUT, UNKNOWN_SOURCE",NO_ANSWER,-
66,REVEAL,RESPONSE,Someone Knows Your Name,A stranger in the darkness calls you by name before you have introduced yourself.,CALLED_OUT,"HUMAN_CONFIRMED, STRANGER_KNOWS_NAME",UNKNOWN_SOURCE
67,REVEAL,RESPONSE,An Animal Growls Back,A low growl answers your voice from beyond the firelight.,"ANIMAL_SOUND, CALLED_OUT","ANIMAL_CONFIRMED, LARGE_ANIMAL",UNKNOWN_SOURCE
68,REVEAL,RESPONSE,A Wounded Traveller Is Found,You find a wounded traveller sitting against a tree and struggling to stay conscious.,APPROACHING_VOICE,"HUMAN_CONFIRMED, TRAVELLER_PRESENT, WOUNDED_TRAVELLER",UNKNOWN_SOURCE
69,REVEAL,RESPONSE,A Lost Merchant Is Found,A tired merchant steps into view and admits they became lost after nightfall.,APPROACHING_VOICE,"HUMAN_CONFIRMED, MERCHANT_PRESENT, TRAVELLER_PRESENT",UNKNOWN_SOURCE
70,REVEAL,RESPONSE,A Suspicious Stranger Waits Ahead,A lone stranger stands off the road and gives no clear reason for being there.,APPROACHING_VOICE,"HUMAN_CONFIRMED, SUSPICIOUS_STRANGER",UNKNOWN_SOURCE
71,REVEAL,RESPONSE,The Cry Leads to Abandoned Belongings,"You find a pack and scattered belongings, but no person nearby.",APPROACHING_VOICE,"ABANDONED_BELONGINGS, MISSING_PERSON_POSSIBLE",-
72,REVEAL,RESPONSE,Another Weak Cry Comes from Nearby,"The person calls again, much closer and noticeably weaker.",LISTENING_FOR_VOICE,"DISTRESS_CONFIRMED, VOICE_LOCATED",-
73,REVEAL,RESPONSE,A Traveller Steps into View,A lone traveller slowly steps into the firelight with empty hands.,LISTENING_FOR_FOOTSTEPS,"HUMAN_CONFIRMED, TRAVELLER_PRESENT",UNKNOWN_SOURCE
74,REVEAL,RESPONSE,An Armed Stranger Is Waiting,The footsteps belong to an armed stranger standing just outside the light.,FOLLOWING_FOOTSTEPS,"ARMED_STRANGER, HUMAN_CONFIRMED",UNKNOWN_SOURCE
75,REVEAL,RESPONSE,The Footsteps Lead to a Thief,"You catch a person moving quietly near the edge of your camp, clearly trying not to be seen.",FOLLOWING_FOOTSTEPS,"HUMAN_CONFIRMED, THEFT_THREAT, THIEF_PRESENT",UNKNOWN_SOURCE
76,REVEAL,RESPONSE,The Whisperers Are Watching Your Camp,You realize the strangers are discussing your campsite and deciding whether to approach.,EAVESDROPPING,"HUMAN_CONFIRMED, MULTIPLE_PEOPLE, SUSPICIOUS_GROUP",UNKNOWN_SOURCE
77,REVEAL,RESPONSE,The Whisperers Are Lost Travellers,The voices belong to travellers arguing quietly about which road to take.,EAVESDROPPING,"HUMAN_CONFIRMED, LOST_TRAVELLERS, TRAVELLERS_PRESENT, TRAVELLER_PRESENT",UNKNOWN_SOURCE
78,REVEAL,RESPONSE,A Recently Extinguished Lantern,You find a lantern that appears to have been extinguished only moments ago.,FOLLOWING_LIGHT,"HUMAN_POSSIBLE, LANTERN_FOUND",-
79,REVEAL,RESPONSE,The Light Belongs to a Traveller,The moving light is carried by a traveller searching for the road.,FOLLOWING_LIGHT,"HUMAN_CONFIRMED, LOST_TRAVELLER, TRAVELLER_PRESENT",UNKNOWN_SOURCE
80,REVEAL,RESPONSE,The Light Disappears,The strange light vanishes the moment you get close enough to investigate.,FOLLOWING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",-
81,REVEAL,RESPONSE,A Signal Is Returned,A distant light answers your torch signal with two deliberate flashes.,SIGNALLED_LIGHT,"HUMAN_POSSIBLE, LIGHT_SIGNAL_RETURNED",-
82,REVEAL,RESPONSE,The Light Never Moves Again,"After several minutes of watching, the light remains fixed and then fades.",OBSERVING_LIGHT,"LIGHT_VANISHED, NO_SOURCE_FOUND",-
83,REVEAL,RESPONSE,A Thief Is Searching the Bags,You catch a stranger quietly opening one of your bags.,CARGO_CHECK,"HUMAN_CONFIRMED, THEFT_CONFIRMED, THIEF_PRESENT",UNKNOWN_SOURCE
84,REVEAL,RESPONSE,A Thief Runs with Stolen Goods,A figure runs from the camp carrying something taken from your supplies.,CARGO_INVENTORY_CHECK,"CARGO_MISSING, HUMAN_CONFIRMED, PERSON_FLEEING, THIEF_PRESENT",UNKNOWN_SOURCE
85,REVEAL,RESPONSE,An Animal Is Inside the Cargo,An animal is rummaging between the bags in search of food.,CARGO_CHECK,"ANIMAL_CONFIRMED, ANIMAL_IN_CARGO",UNKNOWN_SOURCE
